b= [1 0 0 0 0; 1 0 0 0 0; 1 0 0 0 0; 1 1 1 1 0; 1 0 0 0 1; 1 0 0 0 1; 1 1 1 1 0];
B= [1 1 1 1 0; 1 0 0 0 1; 1 0 0 0 1; 1 1 1 1 0; 1 0 0 0 1; 1 0 0 0 1; 1 1 1 1 0];
c= [0 0 0 0 0; 0 0 0 0 0; 0 0 0 0 0; 0 1 1 1 0; 1 0 0 0 0; 1 0 0 0 0; 0 1 1 1 0];
C= [0 1 1 1 0; 1 0 0 0 1; 1 0 0 0 0; 1 0 0 0 0; 1 0 0 0 0; 1 0 0 0 1; 0 1 1 1 0];
d= [0 0 0 0 1; 0 0 0 0 1; 0 0 0 0 1; 0 1 1 1 1; 1 0 0 0 1; 1 0 0 0 1; 0 1 1 1 1];
D= [1 1 1 1 0; 1 0 0 0 1; 1 0 0 0 1; 1 0 0 0 1; 1 0 0 0 1; 1 0 0 0 1; 1 1 1 1 0];
h= [1 0 0 0 0; 1 0 0 0 0; 1 0 0 0 0; 1 1 1 0 0; 1 0 0 1 0; 1 0 0 1 0; 1 0 0 1 0]; 
H= [1 0 0 0 1; 1 0 0 0 1; 1 0 0 0 1; 1 1 1 1 1; 1 0 0 0 1; 1 0 0 0 1; 1 0 0 0 1];
i= [0 0 0 0 0; 0 0 0 0 0; 0 0 0 0 0; 0 0 1 0 0; 0 0 0 0 0; 0 0 1 0 0; 0 0 1 0 0];
I= [0 1 1 1 0; 0 0 1 0 0; 0 0 1 0 0; 0 0 1 0 0; 0 0 1 0 0; 0 0 1 0 0; 0 1 1 1 0];
k= [1 0 0 0 0; 1 0 0 0 0; 1 0 0 1 0; 1 0 1 0 0; 1 1 0 0 0; 1 0 1 0 0; 1 0 0 1 0];
K= [1 0 0 0 1; 1 0 0 1 0; 1 0 1 0 0; 1 1 0 0 0; 1 0 1 0 0; 1 0 0 1 0; 1 0 0 0 1];
l= [1 0 0 0 0; 1 0 0 0 0; 1 0 0 0 0; 1 0 0 0 0; 1 0 0 0 0; 1 0 0 0 0; 1 1 0 0 0];
L= [1 0 0 0 0; 1 0 0 0 0; 1 0 0 0 0; 1 0 0 0 0; 1 0 0 0 0; 1 0 0 0 0; 1 1 1 1 1];
o= [0 0 0 0 0; 0 0 0 0 0; 0 0 0 0 0; 0 0 1 0 0; 0 1 0 1 0; 0 1 0 1 0; 0 0 1 0 0];
O= [0 1 1 1 0; 1 0 0 0 1; 1 0 0 0 1; 1 0 0 0 1; 1 0 0 0 1; 1 0 0 0 1; 0 1 1 1 0];
t= [0 0 1 0 0; 0 0 1 0 0; 0 1 1 1 0; 0 0 1 0 0; 0 0 1 0 0; 0 0 1 0 0; 0 0 1 1 0];
T= [1 1 1 1 1; 0 0 1 0 0; 0 0 1 0 0; 0 0 1 0 0; 0 0 1 0 0; 0 0 1 0 0; 0 0 1 0 0];
w= [0 0 0 0 0; 0 0 0 0 0; 0 0 0 0 0; 1 0 0 0 1; 1 0 0 0 1; 1 0 1 0 1; 0 1 0 1 0];
W= [1 0 0 0 1; 1 0 0 0 1; 1 0 0 0 1; 1 0 0 0 1; 1 0 1 0 1; 1 0 1 0 1; 0 1 0 1 0];
